route,from_a,to_b,change,totaltime,route_min,full_route,stop1,stop2,stop3,stop4,stop5,count,geom,interval_t
Cerhov - Sárospatak,Cerhov,Sárospatak,2,03:35:00,215,"{Cerhov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Kalsa - Sárospatak,Kalsa,Sárospatak,2,03:13:00,193,"{Kalsa,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Kuzmice - Sárospatak,Kuzmice,Sárospatak,2,03:19:00,199,"{Kuzmice,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Lastovce - Sárospatak,Lastovce,Sárospatak,3,03:37:00,217,"{Lastovce,Michalany,Michalany,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Michalany,Kosice,Miskolc-Tiszai,NULL,NULL,1,NULL,over 180 min
Mala Lodina - Sárospatak,Mala Lodina,Sárospatak,2,03:08:00,188,"{""Mala Lodina"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Obisovce - Sárospatak,Obisovce,Sárospatak,3,03:21:00,201,"{Obisovce,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Szerencs,Szerencs,Sárospatak}",Kosice,Miskolc-Tiszai,Szerencs,NULL,NULL,1,NULL,over 180 min
Ruskov - Sárospatak,Ruskov,Sárospatak,2,03:02:00,182,"{Ruskov,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Slanec - Sárospatak,Slanec,Sárospatak,2,03:08:00,188,"{Slanec,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Slovenske Nove Mesto (Kisújhely) - Sárospatak,Slovenske Nove Mesto,Sárospatak,2,03:40:00,220,"{""Slovenske Nove Mesto"",Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
Somotor - Sárospatak,Somotor,Sárospatak,2,03:55:00,235,"{Somotor,Kosice,Kosice,Miskolc-Tiszai,Miskolc-Tiszai,Sárospatak}",Kosice,Miskolc-Tiszai,NULL,NULL,NULL,1,NULL,over 180 min
