sector,muni,g_ord,sk_hobo
HU HOBO,Košice - Dargovských hrdinov,POP_above_65_2020,5145
HU HOBO,Košice - Džungľa,POP_0-14_2020,176
HU HOBO,Košice - Džungľa,POP_15-64_2020,493
HU HOBO,Košice - Džungľa,POP_above_65_2020,76
HU HOBO,Košice - Juh,POP_0-14_2020,2779
HU HOBO,Košice - Juh,POP_15-64_2020,13700
HU HOBO,Košice - Juh,POP_above_65_2020,6092
HU HOBO,Košice - Kavečany,POP_0-14_2020,214
HU HOBO,Košice - Kavečany,POP_15-64_2020,953
HU HOBO,Košice - Kavečany,POP_above_65_2020,210
HU HOBO,Košice - Košická Nová Ves,POP_0-14_2020,472
HU HOBO,Košice - Košická Nová Ves,POP_15-64_2020,1967
HU HOBO,Košice - Košická Nová Ves,POP_above_65_2020,518
HU HOBO,Košice - Krásna,POP_0-14_2020,1287
HU HOBO,Košice - Krásna,POP_15-64_2020,4099
HU HOBO,Košice - Krásna,POP_above_65_2020,715
HU HOBO,Košice - Lorinčík,POP_0-14_2020,195
HU HOBO,Košice - Lorinčík,POP_15-64_2020,587
HU HOBO,Košice - Lorinčík,POP_above_65_2020,106
HU HOBO,Košice - Luník IX,POP_0-14_2020,2093
HU HOBO,Košice - Luník IX,POP_15-64_2020,4387
HU HOBO,Košice - Luník IX,POP_above_65_2020,209
HU HOBO,Košice - Myslava,POP_0-14_2020,402
HU HOBO,Košice - Myslava,POP_15-64_2020,1689
HU HOBO,Košice - Myslava,POP_above_65_2020,449
HU HOBO,Košice - Nad jazerom,POP_0-14_2020,3201
HU HOBO,Košice - Nad jazerom,POP_15-64_2020,15680
HU HOBO,Košice - Nad jazerom,POP_above_65_2020,5334
HU HOBO,Košice - Pereš,POP_0-14_2020,332
HU HOBO,Košice - Pereš,POP_15-64_2020,1419
HU HOBO,Košice - Pereš,POP_above_65_2020,336
HU HOBO,Košice - Poľov,POP_0-14_2020,208
HU HOBO,Košice - Poľov,POP_15-64_2020,827
HU HOBO,Košice - Poľov,POP_above_65_2020,182
HU HOBO,Košice - Šaca,POP_0-14_2020,994
HU HOBO,Košice - Šaca,POP_15-64_2020,4327
HU HOBO,Košice - Šaca,POP_above_65_2020,711
HU HOBO,Košice - Šebastovce,POP_0-14_2020,125
HU HOBO,Košice - Šebastovce,POP_15-64_2020,515
HU HOBO,Košice - Šebastovce,POP_above_65_2020,118
HU HOBO,Košice - Sever,POP_0-14_2020,2675
HU HOBO,Košice - Sever,POP_15-64_2020,13066
HU HOBO,Košice - Sever,POP_above_65_2020,4411
HU HOBO,Košice - Sídlisko KVP,POP_0-14_2020,3228
HU HOBO,Košice - Sídlisko KVP,POP_15-64_2020,17503
HU HOBO,Košice - Sídlisko KVP,POP_above_65_2020,2522
HU HOBO,Košice - Sídlisko Ťahanovce,POP_0-14_2020,2881
HU HOBO,Košice - Sídlisko Ťahanovce,POP_15-64_2020,17238
HU HOBO,Košice - Sídlisko Ťahanovce,POP_above_65_2020,1629
HU HOBO,Košice - Staré Mesto,POP_0-14_2020,2710
HU HOBO,Košice - Staré Mesto,POP_15-64_2020,13170
HU HOBO,Košice - Staré Mesto,POP_above_65_2020,4981
HU HOBO,Košice - Ťahanovce,POP_0-14_2020,401
HU HOBO,Košice - Ťahanovce,POP_15-64_2020,1848
HU HOBO,Košice - Ťahanovce,POP_above_65_2020,289
HU HOBO,Košice - Vyšné Opátske,POP_0-14_2020,520
HU HOBO,Košice - Vyšné Opátske,POP_15-64_2020,1768
HU HOBO,Košice - Vyšné Opátske,POP_above_65_2020,399
HU HOBO,Košice - Západ,POP_0-14_2020,5254
HU HOBO,Košice - Západ,POP_15-64_2020,25421
HU HOBO,Košice - Západ,POP_above_65_2020,8735
HU HOBO,Košická Polianka,POP_0-14_2020,181
HU HOBO,Košická Polianka,POP_15-64_2020,718
HU HOBO,Košická Polianka,POP_above_65_2020,148
HU HOBO,Kostoľany nad Hornádom,POP_0-14_2020,169
HU HOBO,Kostoľany nad Hornádom,POP_15-64_2020,855
HU HOBO,Kostoľany nad Hornádom,POP_above_65_2020,252
HU HOBO,KOVÁCSVÁGÁS,POP_0-14_2020,113
HU HOBO,KOVÁCSVÁGÁS,POP_15-64_2020,431
HU HOBO,KOVÁCSVÁGÁS,POP_above_65_2020,73
HU HOBO,Kožuchov,POP_0-14_2020,24
HU HOBO,Kožuchov,POP_15-64_2020,130
HU HOBO,Kožuchov,POP_above_65_2020,43
HU HOBO,Kuzmice,POP_0-14_2020,313
HU HOBO,Kuzmice,POP_15-64_2020,1133
HU HOBO,Kuzmice,POP_above_65_2020,257
HU HOBO,Kysak,POP_0-14_2020,222
HU HOBO,Kysak,POP_15-64_2020,1028
HU HOBO,Kysak,POP_above_65_2020,243
HU HOBO,Kysta,POP_0-14_2020,42
HU HOBO,Kysta,POP_15-64_2020,279
HU HOBO,Kysta,POP_above_65_2020,70
HU HOBO,Ladmovce,POP_0-14_2020,32
HU HOBO,Ladmovce,POP_15-64_2020,223
HU HOBO,Ladmovce,POP_above_65_2020,58
