Column1,Column2,Column3,Column4
Bózsva,I, Accommodation and Food service activities,NULL
Bózsva,U, Activities of extra-territorial organizations and bodies,NULL
Bózsva,T, Activities of households as employers; undifferentiated goo,NULL
Bózsva,N, Administrative and support service activities,NULL
Bózsva,A," Agriculture, forestry and fishing",25
Bózsva,R," Arts, entertainment and recreation",NULL
Bózsva,F, Construction,NULL
Bózsva,P, Education,NULL
Bózsva,D," Electricity, gas, steam and air-conditioning supply",NULL
Bózsva,K, Financial and insurance activities,NULL
Bózsva,Q, Human health and social work activities,NULL
Bózsva,J, Information and communication,NULL
Bózsva,C, Manufacturing,NULL
Bózsva,B, Mining and quarrying,NULL
Bózsva,S, Other services,5
Bózsva,M," Professional, scientific and technical activities",NULL
Bózsva,O," Public administration and defence, compulsory social securi",NULL
Bózsva,L, Real estate activities*,NULL
Bózsva,H, Transportation and storage,NULL
Bózsva,E," Water supply, sewerage, waste management and remediation",NULL
Bózsva,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Erdőbénye,I, Accommodation and Food service activities,9
Erdőbénye,U, Activities of extra-territorial organizations and bodies,NULL
Erdőbénye,T, Activities of households as employers; undifferentiated goo,NULL
Erdőbénye,N, Administrative and support service activities,NULL
Erdőbénye,A," Agriculture, forestry and fishing",112
Erdőbénye,R," Arts, entertainment and recreation",5
Erdőbénye,F, Construction,10
Erdőbénye,P, Education,NULL
Erdőbénye,D," Electricity, gas, steam and air-conditioning supply",NULL
Erdőbénye,K, Financial and insurance activities,NULL
Erdőbénye,Q, Human health and social work activities,NULL
Erdőbénye,J, Information and communication,NULL
Erdőbénye,C, Manufacturing,20
Erdőbénye,B, Mining and quarrying,NULL
Erdőbénye,S, Other services,8
Erdőbénye,M," Professional, scientific and technical activities",13
Erdőbénye,O," Public administration and defence, compulsory social securi",NULL
Erdőbénye,L, Real estate activities*,9
Erdőbénye,H, Transportation and storage,NULL
Erdőbénye,E," Water supply, sewerage, waste management and remediation",NULL
Erdőbénye,G," Wholesale and retail trade, repair of motor vehicles and mo",11
Erdőhorváti,I, Accommodation and Food service activities,6
Erdőhorváti,U, Activities of extra-territorial organizations and bodies,NULL
Erdőhorváti,T, Activities of households as employers; undifferentiated goo,NULL
Erdőhorváti,N, Administrative and support service activities,NULL
Erdőhorváti,A," Agriculture, forestry and fishing",120
Erdőhorváti,R," Arts, entertainment and recreation",NULL
Erdőhorváti,F, Construction,5
Erdőhorváti,P, Education,7
Erdőhorváti,D," Electricity, gas, steam and air-conditioning supply",NULL
Erdőhorváti,K, Financial and insurance activities,NULL
Erdőhorváti,Q, Human health and social work activities,NULL
Erdőhorváti,J, Information and communication,NULL
Erdőhorváti,C, Manufacturing,11
Erdőhorváti,B, Mining and quarrying,NULL
Erdőhorváti,S, Other services,5
Erdőhorváti,M," Professional, scientific and technical activities",5
Erdőhorváti,O," Public administration and defence, compulsory social securi",NULL
Erdőhorváti,L, Real estate activities*,NULL
Erdőhorváti,H, Transportation and storage,NULL
Erdőhorváti,E," Water supply, sewerage, waste management and remediation",NULL
Erdőhorváti,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Felsőberecki,I, Accommodation and Food service activities,NULL
Felsőberecki,U, Activities of extra-territorial organizations and bodies,NULL
Felsőberecki,T, Activities of households as employers; undifferentiated goo,NULL
Felsőberecki,N, Administrative and support service activities,NULL
Felsőberecki,A," Agriculture, forestry and fishing",14
Felsőberecki,R," Arts, entertainment and recreation",NULL
Felsőberecki,F, Construction,NULL
Felsőberecki,P, Education,NULL
Felsőberecki,D," Electricity, gas, steam and air-conditioning supply",NULL
Felsőberecki,K, Financial and insurance activities,NULL
Felsőberecki,Q, Human health and social work activities,NULL
Felsőberecki,J, Information and communication,NULL
Felsőberecki,C, Manufacturing,NULL
Felsőberecki,B, Mining and quarrying,NULL
Felsőberecki,S, Other services,NULL
Felsőberecki,M," Professional, scientific and technical activities",NULL
Felsőberecki,O," Public administration and defence, compulsory social securi",NULL
Felsőberecki,L, Real estate activities*,NULL
Felsőberecki,H, Transportation and storage,NULL
Felsőberecki,E," Water supply, sewerage, waste management and remediation",NULL
Felsőberecki,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Felsődobsza,I, Accommodation and Food service activities,NULL
Felsődobsza,U, Activities of extra-territorial organizations and bodies,NULL
Felsődobsza,T, Activities of households as employers; undifferentiated goo,NULL
Felsődobsza,N, Administrative and support service activities,NULL
Felsődobsza,A," Agriculture, forestry and fishing",48
Felsődobsza,R," Arts, entertainment and recreation",NULL
Felsődobsza,F, Construction,NULL
Felsődobsza,P, Education,NULL
Felsődobsza,D," Electricity, gas, steam and air-conditioning supply",NULL
Felsődobsza,K, Financial and insurance activities,NULL
Felsődobsza,Q, Human health and social work activities,NULL
Felsődobsza,J, Information and communication,NULL
Felsődobsza,C, Manufacturing,NULL
Felsődobsza,B, Mining and quarrying,NULL
Felsődobsza,S, Other services,5
Felsődobsza,M," Professional, scientific and technical activities",NULL
Felsődobsza,O," Public administration and defence, compulsory social securi",NULL
Felsődobsza,L, Real estate activities*,NULL
Felsődobsza,H, Transportation and storage,NULL
Felsődobsza,E," Water supply, sewerage, waste management and remediation",NULL
Felsődobsza,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Felsőregmec,I, Accommodation and Food service activities,NULL
Felsőregmec,U, Activities of extra-territorial organizations and bodies,NULL
Felsőregmec,T, Activities of households as employers; undifferentiated goo,NULL
Felsőregmec,N, Administrative and support service activities,NULL
Felsőregmec,A," Agriculture, forestry and fishing",8
Felsőregmec,R," Arts, entertainment and recreation",NULL
Felsőregmec,F, Construction,NULL
Felsőregmec,P, Education,NULL
Felsőregmec,D," Electricity, gas, steam and air-conditioning supply",NULL
Felsőregmec,K, Financial and insurance activities,NULL
Felsőregmec,Q, Human health and social work activities,NULL
Felsőregmec,J, Information and communication,NULL
Felsőregmec,C, Manufacturing,NULL
Felsőregmec,B, Mining and quarrying,NULL
Felsőregmec,S, Other services,NULL
Felsőregmec,M," Professional, scientific and technical activities",NULL
Felsőregmec,O," Public administration and defence, compulsory social securi",NULL
Felsőregmec,L, Real estate activities*,NULL
Felsőregmec,H, Transportation and storage,NULL
Felsőregmec,E," Water supply, sewerage, waste management and remediation",NULL
Felsőregmec,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Filkeháza,I, Accommodation and Food service activities,NULL
Filkeháza,U, Activities of extra-territorial organizations and bodies,NULL
Filkeháza,T, Activities of households as employers; undifferentiated goo,NULL
Filkeháza,N, Administrative and support service activities,NULL
Filkeháza,A," Agriculture, forestry and fishing",7
Filkeháza,R," Arts, entertainment and recreation",NULL
Filkeháza,F, Construction,NULL
Filkeháza,P, Education,NULL
Filkeháza,D," Electricity, gas, steam and air-conditioning supply",NULL
Filkeháza,K, Financial and insurance activities,NULL
Filkeháza,Q, Human health and social work activities,NULL
Filkeháza,J, Information and communication,NULL
Filkeháza,C, Manufacturing,NULL
Filkeháza,B, Mining and quarrying,NULL
Filkeháza,S, Other services,NULL
Filkeháza,M," Professional, scientific and technical activities",NULL
Filkeháza,O," Public administration and defence, compulsory social securi",NULL
Filkeháza,L, Real estate activities*,NULL
Filkeháza,H, Transportation and storage,NULL
Filkeháza,E," Water supply, sewerage, waste management and remediation",NULL
Filkeháza,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Fony,I, Accommodation and Food service activities,7
Fony,U, Activities of extra-territorial organizations and bodies,NULL
Fony,T, Activities of households as employers; undifferentiated goo,NULL
Fony,N, Administrative and support service activities,NULL
Fony,A," Agriculture, forestry and fishing",32
Fony,R," Arts, entertainment and recreation",NULL
Fony,F, Construction,7
Fony,P, Education,NULL
Fony,D," Electricity, gas, steam and air-conditioning supply",NULL
Fony,K, Financial and insurance activities,NULL
Fony,Q, Human health and social work activities,NULL
Fony,J, Information and communication,NULL
Fony,C, Manufacturing,NULL
Fony,B, Mining and quarrying,NULL
Fony,S, Other services,10
Fony,M," Professional, scientific and technical activities",NULL
Fony,O," Public administration and defence, compulsory social securi",NULL
Fony,L, Real estate activities*,NULL
Fony,H, Transportation and storage,6
Fony,E," Water supply, sewerage, waste management and remediation",NULL
Fony,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Füzér,I, Accommodation and Food service activities,16
Füzér,U, Activities of extra-territorial organizations and bodies,NULL
Füzér,T, Activities of households as employers; undifferentiated goo,NULL
Füzér,N, Administrative and support service activities,NULL
Füzér,A," Agriculture, forestry and fishing",79
Füzér,R," Arts, entertainment and recreation",7
Füzér,F, Construction,6
Füzér,P, Education,7
Füzér,D," Electricity, gas, steam and air-conditioning supply",NULL
Füzér,K, Financial and insurance activities,NULL
Füzér,Q, Human health and social work activities,NULL
Füzér,J, Information and communication,NULL
Füzér,C, Manufacturing,NULL
Füzér,B, Mining and quarrying,NULL
Füzér,S, Other services,8
Füzér,M," Professional, scientific and technical activities",11
Füzér,O," Public administration and defence, compulsory social securi",NULL
Füzér,L, Real estate activities*,NULL
Füzér,H, Transportation and storage,NULL
Füzér,E," Water supply, sewerage, waste management and remediation",NULL
Füzér,G," Wholesale and retail trade, repair of motor vehicles and mo",7
Füzérkajata,I, Accommodation and Food service activities,NULL
Füzérkajata,U, Activities of extra-territorial organizations and bodies,NULL
Füzérkajata,T, Activities of households as employers; undifferentiated goo,NULL
Füzérkajata,N, Administrative and support service activities,NULL
Füzérkajata,A," Agriculture, forestry and fishing",7
Füzérkajata,R," Arts, entertainment and recreation",NULL
Füzérkajata,F, Construction,NULL
Füzérkajata,P, Education,NULL
Füzérkajata,D," Electricity, gas, steam and air-conditioning supply",NULL
Füzérkajata,K, Financial and insurance activities,NULL
Füzérkajata,Q, Human health and social work activities,NULL
Füzérkajata,J, Information and communication,NULL
Füzérkajata,C, Manufacturing,NULL
Füzérkajata,B, Mining and quarrying,NULL
Füzérkajata,S, Other services,NULL
Füzérkajata,M," Professional, scientific and technical activities",NULL
Füzérkajata,O," Public administration and defence, compulsory social securi",NULL
Füzérkajata,L, Real estate activities*,NULL
Füzérkajata,H, Transportation and storage,NULL
Füzérkajata,E," Water supply, sewerage, waste management and remediation",NULL
Füzérkajata,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Füzérkomlós,I, Accommodation and Food service activities,NULL
Füzérkomlós,U, Activities of extra-territorial organizations and bodies,NULL
Füzérkomlós,T, Activities of households as employers; undifferentiated goo,NULL
Füzérkomlós,N, Administrative and support service activities,NULL
Füzérkomlós,A," Agriculture, forestry and fishing",73
Füzérkomlós,R," Arts, entertainment and recreation",NULL
Füzérkomlós,F, Construction,NULL
Füzérkomlós,P, Education,NULL
Füzérkomlós,D," Electricity, gas, steam and air-conditioning supply",NULL
Füzérkomlós,K, Financial and insurance activities,NULL
Füzérkomlós,Q, Human health and social work activities,NULL
Füzérkomlós,J, Information and communication,NULL
Füzérkomlós,C, Manufacturing,NULL
Füzérkomlós,B, Mining and quarrying,NULL
Füzérkomlós,S, Other services,NULL
Füzérkomlós,M," Professional, scientific and technical activities",NULL
Füzérkomlós,O," Public administration and defence, compulsory social securi",NULL
Füzérkomlós,L, Real estate activities*,NULL
Füzérkomlós,H, Transportation and storage,NULL
Füzérkomlós,E," Water supply, sewerage, waste management and remediation",NULL
Füzérkomlós,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL
Füzérradvány,I, Accommodation and Food service activities,NULL
Füzérradvány,U, Activities of extra-territorial organizations and bodies,NULL
Füzérradvány,T, Activities of households as employers; undifferentiated goo,NULL
Füzérradvány,N, Administrative and support service activities,NULL
