Column1,Column2,Column3,Column4,Column5
Filkeháza,R," Arts, entertainment and recreation",NULL,NULL
Filkeháza,F, Construction,NULL,NULL
Filkeháza,P, Education,NULL,NULL
Filkeháza,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Filkeháza,K, Financial and insurance activities,NULL,NULL
Filkeháza,Q, Human health and social work activities,NULL,NULL
Filkeháza,J, Information and communication,NULL,NULL
Filkeháza,C, Manufacturing,NULL,NULL
Filkeháza,B, Mining and quarrying,NULL,NULL
Filkeháza,S, Other services,NULL,NULL
Filkeháza,M," Professional, scientific and technical activities",NULL,NULL
Filkeháza,O," Public administration and defence, compulsory social securi",NULL,NULL
Filkeháza,L, Real estate activities*,NULL,NULL
Filkeháza,H, Transportation and storage,NULL,NULL
Filkeháza,E," Water supply, sewerage, waste management and remediation",NULL,NULL
Filkeháza,G," Wholesale and retail trade, repair of motor vehicles and mo",NULL,NULL
Fony,I, Accommodation and Food service activities,6,24
Fony,U, Activities of extra-territorial organizations and bodies,NULL,NULL
Fony,T, Activities of households as employers; undifferentiated goo,NULL,NULL
Fony,N, Administrative and support service activities,NULL,NULL
Fony,A," Agriculture, forestry and fishing",32,104
Fony,R," Arts, entertainment and recreation",NULL,NULL
Fony,F, Construction,NULL,NULL
Fony,P, Education,NULL,NULL
Fony,D," Electricity, gas, steam and air-conditioning supply",NULL,NULL
Fony,K, Financial and insurance activities,NULL,NULL
Fony,Q, Human health and social work activities,NULL,NULL
Fony,J, Information and communication,NULL,NULL
Fony,C, Manufacturing,NULL,NULL
Fony,B, Mining and quarrying,NULL,NULL
Fony,S, Other services,6,6
Fony,M," Professional, scientific and technical activities",NULL,NULL
Fony,O," Public administration and defence, compulsory social securi",NULL,NULL
