nam,objectid,min,nm4,status_en,further_use_en,poznamka,geom
Drienovec,2464,900.8333396,Trebišov,abandoned landfill without overburden (illegal landfill),n/a,Priemyselná skládka sa nevyužívala a ani nebude.,0104000020E61000000100000001010000004028B65C5FB8354010602832C3524840
Drienovec,2465,954.254415,Trebišov,abandoned landfill without overburden (illegal landfill),n/a,Priemyselná skládka sa nevyužívala a ani nebude.,0104000020E6100000010000000101000000F074ED66A1B835400070BC0D3A524840
Drieňovec,2464,730.0633159,Trebišov,abandoned landfill without overburden (illegal landfill),n/a,Priemyselná skládka sa nevyužívala a ani nebude.,0104000020E61000000100000001010000004028B65C5FB8354010602832C3524840
Drieňovec,2465,517.6860504,Trebišov,abandoned landfill without overburden (illegal landfill),n/a,Priemyselná skládka sa nevyužívala a ani nebude.,0104000020E6100000010000000101000000F074ED66A1B835400070BC0D3A524840
Garbovský potok,1256,203.8498781,Rákoš,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000C01E49ACB96C3540508891DC1C524840
Garbovský potok,1652,908.9518321,Bohdanovce,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000D0750AF4B4673540901067B06F534840
Garbovský potok,1653,397.3194049,Bohdanovce,"modified (overlay, landscaping, etc.)",n/a,Skládka TKO. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000000891648EC69354038E63B86F4524840
Holubnica,707,13.54559049,Sady nad Torysou,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000E0BE78ED6F593540104FEFAF8C5A4840
Holubnica,708,27.00676801,Košická Polianka,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000503E37208158354058830C5E205A4840
Hornád,583,123.4442297,Trebejov,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000000AB7EDAE53735408037F4BB956A4840
Hornád,1133,360.6228106,Nižná Myšľa,abandoned landfill without overburden (illegal landfill),n/a,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000106AE5566F5B3540C8E94C90474E4840
Hornád,1134,215.5729356,Nižná Myšľa,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E61000000100000001010000001098708A3C5A3540882DCDB2C94D4840
Hornád,1180,826.0556601,Ždaňa,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000F07AE2066A59354020EC05ED754C4840
Hornád,1266,147.7803479,Nižná Myšľa,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E610000001000000010100000030D588AA29553540707E8EBF8F524840
Hornád,1272,93.19906206,Nižná Myšľa,abandoned landfill without overburden (illegal landfill),disposal,Stará neriadená skládka - ponechaná. V roku 2020 neboli zaznamenané zmeny.,0104000020E6100000010000000101000000C07DA201A85B3540A80141F599504840
