ownership_type_id,organization_size_id,sk_nace_category_id,legal_form_id,municipality_id,district_id,region_id,id,cin,tin,corporate_body_name,city,street,postal_code,last_updated_on,established_on,consolidated,data_source,created_at,updated_at,deleted,terminated_on,sid,region_name,region_en,district_name,district_en,municipality,mun_en,legal_form,lf_en,sk_nace_category,nace_en,organization_size,os_en,ownership_type,ow_en,min_emp,max_emp,sector,nace_g_name,nace_g_code,nace_cl_code,nace_cl_name,nace_root_code,nace_root_name,tvc_network,zemp_geopark,se,nw
6,0,94200,701,528099,811,8,744181,42105978,NULL,"Základná organizácia Odborového zväzu PŠaV na Slovensku pri Základnej škole, ul. M.R.Štefánika, Trebišov",Trebišov,"ZŠ, M.R.Štefánika 51",7501,31/07/2017,20/03/2009,FALSE,SUSR,17/05/2016 23:01,01/08/2017 13:41,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,"Združenie (zväz,spolok)",Association,Čin.odborových org.,Activ.of trade unions,nezistený,unknown,"Združ.,p.strany,cirkvi",Ownership of associat.,0,0,Trebišov,Activities of trade unions,S94.2,S94,Activities of membership organisations,S,Other services activities,NULL,NULL,NULL,NULL
2,2,43390,101,528099,811,8,737227,44531214,1035006819,Martin Mikunda - Z.O.O.M,Trebišov,Komenského 2206/33,7501,03/07/2018,01/01/2009,FALSE,SUSR,17/05/2016 23:00,04/07/2018 02:09,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Ost.stav.kompletiz.práce,Oth.building completion,1 zamestnanec,1 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,Building completion and finishing,F43.3,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,0,43390,101,528099,811,8,732608,44488629,1077777602,Tibor Michal-TM,Trebišov,Slov. Nár. Povstania 3758/96,7501,31/07/2017,01/11/2008,FALSE,SUSR,17/05/2016 23:00,01/08/2017 13:32,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Ost.stav.kompletiz.práce,Oth.building completion,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Building completion and finishing,F43.3,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,0,43320,112,528099,811,8,730643,44398891,2022689460,ADIP PLUS s.r.o.,Trebišov,Cukrovarská 24,7501,31/07/2017,25/09/2008,FALSE,SUSR,17/05/2016 22:59,01/08/2017 13:30,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Stolárske práce,Joinery installation,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,Building completion and finishing,F43.3,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,0,46190,112,528099,811,8,726552,44290756,2022655943,VINACONEX s.r.o.,Trebišov,M.R. Štefánika 1161,7501,31/07/2017,25/07/2008,FALSE,SUSR,17/05/2016 22:59,01/08/2017 13:27,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,nezistený,unknown,Súkromné tuzemské,Private inland,0,0,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,0,43340,101,528099,811,8,137797,41605241,1046469248,Peter Schnelly,Trebišov,Komenského 2118/9,7501,31/07/2017,16/05/2005,FALSE,SUSR,17/05/2016 22:00,01/08/2017 03:49,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Maľovanie a zasklievanie,Painting and glazing,nezistený,unknown,Súkromné tuzemské,Private inland,1,1,Trebišov,Building completion and finishing,F43.3,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,6,43390,112,528099,811,8,1801599,51955377,2120850523,VAMOS-MM s.r.o.,Trebišov,Škultétyho 1880/7,7501,07/12/2020,26/09/2018,FALSE,SUSR,06/11/2018 02:12,08/12/2020 02:34,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Spol. s r. o.,Limited liability comp.,Ost.stav.kompletiz.práce,Oth.building completion,10-19 zamestnancov,10-19 employees,Súkromné tuzemské,Private inland,10,19,Trebišov,Building completion and finishing,F43.3,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,1,46190,101,528099,811,8,708309,44370202,1080199428,Jozef Fáber - FABEX,Trebišov,Berehovská 2213/13,7501,31/07/2017,02/09/2008,FALSE,SUSR,17/05/2016 22:57,01/08/2017 13:12,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
2,1,43320,101,528099,811,8,707946,44445491,1079604339,Ján Mydla,Trebišov,Komenského 1917/73,7501,31/07/2017,01/11/2008,FALSE,SUSR,17/05/2016 22:57,01/08/2017 13:12,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Stolárske práce,Joinery installation,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,Building completion and finishing,F43.3,F43,Specialised construction activities,F,Construction,NULL,NULL,NULL,NULL
2,1,46190,101,528099,811,8,699971,44337027,1026440569,Ing. Iveta Džopková - AUTOŠKOLA,Trebišov,M. R. Štefánika 191/41,7501,31/07/2017,05/08/2008,FALSE,SUSR,17/05/2016 22:56,01/08/2017 13:06,FALSE,NULL,NULL,Košický kraj,Region of Košice,Trebišov,Trebišov,Trebišov,Trebišov,Živnostník,Entrepreneur,Sprostr.obch.s rozl.tov.,Agents of sale of var.go,0 zamestnancov,0 employees,Súkromné tuzemské,Private inland,1,1,Trebišov,Wholesale on a fee or contract basis,G46.1,G46,"Wholesale trade, except of motor vehicles and motorcycles",G,Wholesale and retail trade; repair of motor vehicles and motorcycles,NULL,NULL,NULL,NULL
